iteration,cycles,rotation,events_used,align_n0,offset_a_codes,offset_b_codes,gain_a_codes,gain_b_codes,gain_ratio,tone_ratio,skew_a_ps,skew_b_ps,skew_mismatch_ps,skew_phase_ps,skew_diff_route_ps,skew_centroid_ps,skew_source,raw_a_sndr_db,raw_a_sfdr_db,raw_a_enob,raw_b_sndr_db,raw_b_sfdr_db,raw_b_enob,cal_a_sndr_db,cal_a_sfdr_db,cal_a_enob,cal_b_sndr_db,cal_b_sfdr_db,cal_b_enob,raw_difference_dbc,cal_difference_dbc,cal_dc_difference_codes,raw_sndr_db,raw_sfdr_db,raw_enob,cal_sndr_db,cal_sfdr_db,cal_enob,raw_offset_spur_dbc,raw_image_spur_dbc,cal_offset_spur_dbc,cal_image_spur_dbc,swapped,align_margin,frame_sha1,rejected,offset_error_a,offset_error_b,gain_error,gain_source,skew_error_ps,skew_batch_n,offset_a_state,offset_b_state,gain_corr_a,gain_corr_b,skew_cmd_ps,skew_batch_used,skew_batch_mean_ps,skew_batch_se_ps,skew_batch_error_ps,skew_action,skew_step_codes,skew_code
0,0,0,8,3126,-7.45393601101094,-11.214905708247507,16.617901606881617,17.302101852840188,1.0411724814687335,1.030107729461945,0.0,-55.039130927128134,-55.039130927128134,-55.039130927128134,-60.81690108522491,-113.65084818829466,phase,37.617850484266924,41.66726329329496,5.956453568815104,37.60099995585924,40.437604931024424,5.953654477717482,37.617850484266924,41.66726329329496,5.956453568815104,37.60099995585924,40.437604931024424,5.953654477717482,-22.287726998723585,-22.287726998723585,3.7785866550921448,37.617850484266924,41.66726329329496,5.956453568815104,37.617850484266924,41.66726329329496,5.956453568815104,nan,-22.287726998723585,nan,-22.287726998723585,False,5.772730772256053,0e20b2dcd78c784c,align_margin=5.8,,,,,,,,,,,,,,,,,,
0,0,0,7,4256,1.3572109380338693,-0.07847882343691981,17.812599981199845,18.004081862688682,1.0107497996750017,1.0137881684415893,0.0,-41.80788996512355,-41.80788996512355,-41.80788996512355,-43.51063799401893,13.706797806825387,phase,38.10301902700299,42.32938952955366,6.037046350000498,37.311380327095186,40.8750898877063,5.905544904833088,38.10301902700299,42.32938952955366,6.037046350000498,37.311380327095186,40.8750898877063,5.905544904833088,-25.204192326080673,-25.204192326080673,1.3272645361498612,38.10301902700299,42.32938952955366,6.037046350000498,38.10301902700299,42.32938952955366,6.037046350000498,nan,-25.204192326080673,nan,-25.204192326080673,False,6.911305676434092,5044f17bfd4a479a,,1.3572109380338693,-0.07847882343691981,0.013788168441589255,tone,-41.80788996512355,1,0.4750238283118542,-0.02746758820292193,1.0024129294772781,0.9976198879091405,0.0,,,,,,,
1,1020,0,8,4429,-2.4721837359732066,-4.952413526640726,17.479688831320466,17.34389040718623,0.9922310731361013,1.0254720962119632,0.0,-52.0048128189386,-52.0048128189386,-52.0048128189386,-56.45522186290531,-384.1440519812222,phase,37.27566585147841,40.852610152328865,5.899612267687444,37.519706072406116,42.786348011907236,5.940150510366466,37.27566585147841,40.85261015232887,5.899612267687444,37.519706072406116,42.786348011907236,5.940150510366466,-22.77120056724659,-23.0217612912986,3.03803406518262,37.27566585147841,40.852610152328865,5.899612267687444,37.27566585147841,40.85261015232887,5.899612267687444,nan,-22.77120056724659,nan,-23.0217612912986,False,7.3173182197666184,8df80d6706d8e74b,,-2.4721837359732066,-4.952413526640726,0.025472096211963224,tone,-52.0048128189386,2,-0.38815768316548294,-1.7649477199964858,1.0068813022294363,0.9932833416239805,0.0,,,,,,,
2,2040,0,8,2493,-8.502971650251501,-8.900592812055233,16.961160823069147,17.248909465886634,1.016965150311299,1.0033462298377944,0.0,-40.35792541149287,-40.35792541149287,-40.35792541149287,-40.51352387264113,203.97753721761586,phase,36.68125064833677,41.193225833965236,5.800872200720395,37.227614425466776,42.07668304024979,5.8916303032336845,36.68125064833676,41.19322583396521,5.800872200720392,37.227614425466776,42.076683040249804,5.8916303032336845,-25.39591575718539,-25.895981038581525,-0.020720593617559402,36.68125064833677,41.193225833965236,5.800872200720395,36.68125064833676,41.19322583396521,5.800872200720392,nan,-25.39591575718539,nan,-25.895981038581525,False,7.0338462388972305,89f46010f711427a,,-8.502971650251501,-8.900592812055233,0.0033462298377944233,tone,-40.35792541149287,3,-3.343858688833657,-4.901220476897942,1.0074709220743479,0.9927036244786425,0.0,,,,,,,
3,3060,0,8,2476,-2.1140969156962686,-2.5325611449502032,17.025843241549403,17.40957767672755,1.0225383512425212,1.0154747119662875,0.0,-55.71162706494284,-55.71162706494284,-55.71162706494284,-57.48520510640675,36.9553562378468,phase,37.618899642354556,41.615811308251374,5.956627847567202,37.24284544911909,41.26812336195055,5.894160373607822,37.61889964235455,41.615811308251374,5.956627847567201,37.24284544911908,41.26812336195055,5.894160373607821,-22.249958306975408,-22.84642320662792,0.9188740552739278,37.618899642354556,41.615811308251374,5.956627847567202,37.61889964235455,41.615811308251374,5.956627847567201,nan,-22.249958306975408,nan,-22.84642320662792,False,6.998865880432462,591600593e9f047b,,-2.1140969156962686,-2.5325611449502032,0.015474711966287469,tone,-55.71162706494284,4,-4.07830561358479,-5.794131894641679,1.0101992284827122,0.9900562759693758,0.0,,,,,,,
4,4080,0,8,3000,-10.791647297802239,-11.711511156127902,17.346963326673343,17.740172455396525,1.0226673176923462,1.0099409441249851,0.0,-54.58059907607893,-54.58059907607893,-54.58059907607893,-55.42291313966289,-131.87945768479062,phase,37.073374301533384,40.6689372484988,5.866009020188271,37.634589372131984,41.89300872192533,5.959234114972091,37.073374301533384,40.66893724849881,5.866009020188271,37.63458937213197,41.89300872192532,5.959234114972089,-22.404828223733617,-23.14798547941983,0.7860643811441701,37.073374301533384,40.6689372484988,5.866009020188271,37.073374301533384,40.66893724849881,5.866009020188271,nan,-22.404828223733617,nan,-23.14798547941983,False,5.647427163353401,1462cb50cc5d4c9c,align_margin=5.6,,,,,,,,,,,,,,,,,,
4,4080,0,8,1801,1.6572096434410781,0.5040517607276243,17.481627913620084,17.941982096601038,1.026333599208017,1.0061784091070154,0.0,-42.039743438489765,-42.039743438489765,-42.039743438489765,-42.45701447409029,141.83066749095676,phase,36.60800592568994,41.6228156452525,5.7887053032707545,37.128855936926826,41.76475297587368,5.875225238692164,36.60800592568995,41.6228156452525,5.788705303270757,37.12885593692682,41.76475297587367,5.875225238692163,-24.50978645944632,-25.493371862832905,1.3377936419179308,36.60800592568994,41.6228156452525,5.7887053032707545,36.60800592568995,41.6228156452525,5.788705303270757,nan,-24.50978645944632,nan,-25.493371862832905,False,7.4645706771169085,39038118747097ab,,1.6572096434410781,0.5040517607276243,0.006178409107015392,tone,-42.039743438489765,5,-3.504138301978787,-5.615941906318101,1.0112914777025148,0.9889923789359125,0.0,,,,,,,
5,5100,0,8,3101,-7.974512355151563,-7.969759503343932,16.579769213400212,16.73550542510912,1.009393147136393,0.990994949181486,0.0,-42.19775150938331,-42.19775150938331,-42.19775150938331,-42.618119511943426,126.94611182678793,phase,36.6470356841649,40.57638982983438,5.795188651854635,37.06990947221853,41.412985160628224,5.865433467145936,36.647035684164905,40.57638982983441,5.7951886518546365,37.06990947221853,41.41298516062824,5.865433467145936,-25.245568889815427,-25.518216092664744,-0.6919894896905312,36.6470356841649,40.57638982983438,5.795188651854635,36.647035684164905,40.57638982983441,5.7951886518546365,nan,-25.245568889815427,nan,-25.518216092664744,False,5.707305679418115,e2fa1be59f0ce637,align_margin=5.7,,,,,,,,,,,,,,,,,,
5,5100,0,8,6776,-1.202238227067922,-3.130817356278045,18.702963656240776,19.422939424784435,1.0384952771002909,1.0074599831515239,0.0,-55.05968379356399,-55.05968379356399,-55.05968379356399,-55.585869800118154,-187.66839226909173,phase,37.756166563170865,41.68113164659063,5.97942966165629,37.64931121125524,41.73573773645078,5.9616796031985455,37.75616656317087,41.68113164659063,5.979429661656292,37.64931121125523,41.73573773645075,5.961679603198544,-22.3064438929037,-23.10769196212728,2.2475116367214336,37.756166563170865,41.68113164659063,5.97942966165629,37.75616656317087,41.68113164659063,5.979429661656292,nan,-22.3064438929037,nan,-23.10769196212728,False,6.99592980668379,9f49f5005c6befc4,,-1.202238227067922,-3.130817356278045,0.007459983151523852,tone,-55.05968379356399,6,-3.920223465110708,-6.723924230586672,1.0126117157448795,0.9877108127632944,0.0,,,,,,,
6,6120,0,8,5732,-2.475223799877739,-1.2593646119816548,17.708665457490397,17.477095201181125,0.9869233366644621,1.003914395576194,0.0,-47.22956703631482,-47.22956703631482,-47.22956703631482,-47.424751616524325,353.030066135068,phase,36.833972869912614,40.442058341839974,5.826241340517046,37.7687669214485,41.17803038972057,5.9815227444266625,36.833972869912614,40.44205834183997,5.826241340517046,37.76876692144849,41.17803038972055,5.98152274442666,-23.51982879904023,-24.56351360197975,-1.346647930039337,36.833972869912614,40.442058341839974,5.826241340517046,36.833972869912614,40.44205834183997,5.826241340517046,nan,-23.51982879904023,nan,-24.56351360197975,False,6.170862705378538,56f5d9fb877ac643,,-2.475223799877739,-1.2593646119816548,0.003914395576193996,tone,-47.22956703631482,7,-4.775761986428265,-7.170186039709148,1.0133053742384694,0.9870368500237536,0.0,,,,,,,
