iteration,cycles,rotation,events_used,align_n0,offset_a_codes,offset_b_codes,gain_a_codes,gain_b_codes,gain_ratio,skew_a_ps,skew_b_ps,skew_mismatch_ps,raw_a_sndr_db,raw_a_sfdr_db,raw_a_enob,raw_b_sndr_db,raw_b_sfdr_db,raw_b_enob,cal_a_sndr_db,cal_a_sfdr_db,cal_a_enob,cal_b_sndr_db,cal_b_sfdr_db,cal_b_enob,raw_difference_dbc,cal_difference_dbc,cal_dc_difference_codes,raw_sndr_db,raw_sfdr_db,raw_enob,cal_sndr_db,cal_sfdr_db,cal_enob,raw_offset_spur_dbc,raw_image_spur_dbc,cal_offset_spur_dbc,cal_image_spur_dbc,swapped,align_margin,rejected
0,0,0,8,4692,-6.667221271638784,-425.8802032987446,nan,nan,nan,nan,nan,nan,2.539031877989919,15.112765416114124,0.12940728870264437,-2.8778630788741824,6.715007008522491,-0.7704091493146482,2.539031877989919,15.112765416114124,0.12940728870264437,-2.8778630788741824,6.715007008522491,-0.7704091493146482,-13.578460683016829,-13.578460683016829,419.6166666666667,2.539031877989919,15.112765416114124,0.12940728870264437,2.539031877989919,15.112765416114124,0.12940728870264437,nan,-13.578460683016829,nan,-13.578460683016829,False,4.226712067824158,align_margin=4.2
0,0,0,8,549,19.709677044921193,-411.23651608932744,91.35883401545202,11.697389230710506,0.1280378559640118,0.0,-84.38658571140824,-84.38658571140824,2.0768407644732214,14.234625857425076,0.05263135622478761,-2.212605419976896,7.456392552926065,-0.6599012325543017,2.0768407644732214,14.234625857425076,0.05263135622478761,-2.212605419976896,7.456392552926065,-0.6599012325543017,-12.68727212132615,-12.68727212132615,440.44460656797565,2.0768407644732214,14.234625857425076,0.05263135622478761,2.0768407644732214,14.234625857425076,0.05263135622478761,nan,-12.68727212132615,nan,-12.68727212132615,False,3.8185393257615314,align_margin=3.8
0,0,0,8,5111,32.66933218438497,-377.7611724625105,29.260853378643066,79.094100715205,2.703068830280058,0.0,-9095.0549195212,-9095.0549195212,4.135625354353917,15.35590415674246,0.3946221518860328,-2.7513510394218237,9.12321702806178,-0.7493938603690737,4.135625354353917,15.35590415674246,0.3946221518860328,-2.7513510394218237,9.12321702806178,-0.7493938603690737,-13.281775043017783,-13.281775043017783,419.98136445520583,4.135625354353917,15.35590415674246,0.3946221518860328,4.135625354353917,15.35590415674246,0.3946221518860328,nan,-13.281775043017783,nan,-13.281775043017783,False,4.043892591304196,align_margin=4.0
0,0,0,7,7105,15.63443707800149,-384.17520472538376,18.71227340117837,56.33704205712149,3.01070002822713,0.0,1896.8222823267095,1896.8222823267095,3.200000160401777,14.597577691751164,0.23920268445212242,-2.2843423068376016,6.543879967609084,-0.6718176589431233,3.200000160401777,14.597577691751164,0.23920268445212242,-2.2843423068376016,6.543879967609084,-0.6718176589431233,-11.820431476456887,-11.820431476456887,410.7614557250425,3.200000160401777,14.597577691751164,0.23920268445212242,3.200000160401777,14.597577691751164,0.23920268445212242,nan,-11.820431476456887,nan,-11.820431476456887,False,3.7351181688092994,align_margin=3.7
0,0,0,7,1486,-1.3379811394441372,-429.0220924496869,50.04203776702577,35.20999401089188,0.703608317767044,0.0,-67.5194418144683,-67.5194418144683,3.5195968701111644,14.253971876999238,0.29229183888889776,-2.93190285342669,9.777770899972927,-0.7793858560509452,3.5195968701111644,14.253971876999238,0.29229183888889776,-2.93190285342669,9.777770899972927,-0.7793858560509452,-13.638591418443122,-13.638591418443122,401.51687416300456,3.5195968701111644,14.253971876999238,0.29229183888889776,3.5195968701111644,14.253971876999238,0.29229183888889776,nan,-13.638591418443122,nan,-13.638591418443122,False,3.926375796939468,align_margin=3.9
0,0,0,8,8178,29.73860673083304,-379.2022136773912,49.64981961712277,6.102837138243727,0.12291760947584664,0.0,-86.42553066968897,-86.42553066968897,2.9887368387870916,16.304007622851234,0.2041091094330717,-2.358755659709728,7.461032715476304,-0.684178681014905,2.9887368387870916,16.304007622851234,0.2041091094330717,-2.358755659709728,7.461032715476304,-0.684178681014905,-11.018274328608687,-11.018274328608687,404.89828937155505,2.9887368387870916,16.304007622851234,0.2041091094330717,2.9887368387870916,16.304007622851234,0.2041091094330717,nan,-11.018274328608687,nan,-11.018274328608687,False,3.3775844336470118,align_margin=3.4
0,0,0,7,7766,11.114968069130292,-374.8937665678134,59.2165097755037,1248.1366570785265,21.077511353005264,0.0,-147.57823404955124,-147.57823404955124,1.7768857948451922,12.818707248652018,0.002804949309832583,-3.8368149071213953,2.9488337956286106,-0.9297034729437534,1.7768857948451922,12.818707248652018,0.002804949309832583,-3.8368149071213953,2.9488337956286106,-0.9297034729437534,-13.839784678775239,-13.839784678775239,309.94375192010443,1.7768857948451922,12.818707248652018,0.002804949309832583,1.7768857948451922,12.818707248652018,0.002804949309832583,nan,-13.839784678775239,nan,-13.839784678775239,False,3.836487019452652,align_margin=3.8
0,0,0,8,1589,12.603665304983299,-377.7640113957968,43.81904793642536,77.49741211501565,1.7685781815125778,nan,nan,nan,3.116125303847413,17.802818154353684,0.22526998402780946,-3.2654741557513853,6.610682211926251,-0.8347963713872734,3.116125303847413,17.802818154353684,0.22526998402780946,-3.2654741557513853,6.610682211926251,-0.8347963713872734,-11.768177246719366,-11.768177246719366,386.7471793736712,3.116125303847413,17.802818154353684,0.22526998402780946,3.116125303847413,17.802818154353684,0.22526998402780946,nan,-11.768177246719366,nan,-11.768177246719366,False,3.595444840919812,align_margin=3.6
0,0,0,7,4636,4.010448348001056,-325.4808472705407,14.171649858853879,80.86298952186895,5.705968629428774,nan,nan,nan,2.5756388975824884,15.270646325232,0.13548818896719078,-3.456244807567959,5.92325842354928,-0.8664858484332159,2.5756388975824884,15.270646325232,0.13548818896719078,-3.456244807567959,5.92325842354928,-0.8664858484332159,-11.36807522052521,-11.36807522052521,340.48111856229247,2.5756388975824884,15.270646325232,0.13548818896719078,2.5756388975824884,15.270646325232,0.13548818896719078,nan,-11.36807522052521,nan,-11.36807522052521,False,4.32184574487537,align_margin=4.3
0,0,0,7,1744,88.2747751119562,-388.9347183132385,26.292996822429657,43.04472693425899,1.6371175649912604,0.0,-88.23396067548049,-88.23396067548049,1.9606444970323422,14.829461533024574,0.03332965066982429,-2.6870157143097657,7.552066294409791,-0.7387069292873365,1.9606444970323422,14.829461533024574,0.03332965066982429,-2.6870157143097657,7.552066294409791,-0.7387069292873365,-15.668659673027179,-15.668659673027179,403.03720361443885,1.9606444970323422,14.829461533024574,0.03332965066982429,1.9606444970323422,14.829461533024574,0.03332965066982429,nan,-15.668659673027179,nan,-15.668659673027179,False,3.612392556634056,align_margin=3.6
