iteration,cycles,rotation,events_used,align_n0,offset_a_codes,offset_b_codes,gain_a_codes,gain_b_codes,gain_ratio,tone_ratio,skew_a_ps,skew_b_ps,skew_mismatch_ps,skew_phase_ps,skew_diff_route_ps,skew_centroid_ps,skew_source,raw_a_sndr_db,raw_a_sfdr_db,raw_a_enob,raw_b_sndr_db,raw_b_sfdr_db,raw_b_enob,cal_a_sndr_db,cal_a_sfdr_db,cal_a_enob,cal_b_sndr_db,cal_b_sfdr_db,cal_b_enob,raw_difference_dbc,cal_difference_dbc,cal_dc_difference_codes,raw_sndr_db,raw_sfdr_db,raw_enob,cal_sndr_db,cal_sfdr_db,cal_enob,raw_offset_spur_dbc,raw_image_spur_dbc,cal_offset_spur_dbc,cal_image_spur_dbc,swapped,align_margin,frame_sha1,rejected,offset_error_a,offset_error_b,gain_error,gain_source,skew_error_ps,offset_a_state,offset_b_state,gain_corr_a,gain_corr_b,skew_cmd_ps
0,0,5,8,537,13.504648214119982,-22.797419937314665,500.13160927163864,510.54031438254145,1.0208119321353462,1.020970449145699,0.0,3.6139699776748127,3.6139699776748127,3.6139699776748127,-17.133096439296494,-4.070621516796098,phase,54.98130048574054,59.61517854769312,8.840747588993446,54.371628554194274,59.02935316658401,8.739473181759847,54.98130048574054,59.61517854769312,8.840747588993446,54.371628554194274,59.02935316658401,8.739473181759847,-33.37903474708778,-33.37903474708778,37.0198389123987,54.98130048574054,59.61517854769312,8.840747588993446,54.98130048574054,59.61517854769312,8.840747588993446,nan,-33.37903474708778,nan,-33.37903474708778,False,8.049685261106875,1aa061a190d36979,,13.504648214119982,-22.797419937314665,0.02097044914569901,tone,3.6139699776748127,4.726626874941993,-7.979096978060132,1.0036698286004972,0.9964055486585649,-1.0841909933024438
1,1020,4,8,1585,9.46329421935546,-15.060112583885651,501.75898113110776,508.3455483091522,1.0131269542265022,1.0136120716631776,0.0,2.489448050196329,2.489448050196329,2.489448050196329,-11.152438963882839,5.405232966987447,phase,54.552221782344446,59.44456723334295,8.76947205686785,54.46577462323954,60.0190421440912,8.755112063661054,54.552221782344404,59.444567233342966,8.769472056867842,54.465774623239504,60.019042144091244,8.755112063661048,-33.48779210977534,-37.140546035282405,24.144874240313634,54.552221782344446,59.44456723334295,8.76947205686785,54.552221782344404,59.444567233342966,8.769472056867842,nan,-33.48779210977534,nan,-37.140546035282405,False,9.09280804481841,58bf3cbf7e7a8b8e,,9.46329421935546,-15.060112583885651,0.013612071663177572,tone,2.489448050196329,8.026669261782324,-13.269151225004302,1.0060606830862862,0.9940638735544566,-1.8310254083613424
2,2040,2,8,2623,5.6926993737652545,-9.677563916322615,502.65166040350135,507.69966214134905,1.0100427435846833,1.008813227358461,0.0,1.7549055738189119,1.7549055738189119,1.7549055738189119,-7.2526954025576,-4.892460176409559,phase,54.59302582843173,59.801401519405466,8.776250137613244,54.228656256234906,58.97679966983256,8.715723630603806,54.59302582843178,59.801401519405545,8.776250137613253,54.228656256234885,58.97679966983257,8.715723630603803,-33.50166524699054,-40.81805944781462,15.679886070335211,54.59302582843173,59.801401519405466,8.776250137613244,54.59302582843178,59.801401519405545,8.776250137613253,nan,-33.50166524699054,nan,-40.81805944781462,False,7.754451458546739,48238039f4599420,,5.6926993737652545,-9.677563916322615,0.008813227358460907,tone,1.7549055738189119,10.007111211571702,-16.67652519847097,1.0076123453551646,0.9925441081801004,-2.357497080507016
3,3060,5,7,849,3.998592055393393,-6.349172266636364,503.6051683434547,506.57792471635815,1.0059029504853614,1.0056874340422426,0.0,1.2222350455546307,1.2222350455546307,1.2222350455546307,-4.702806534282737,5.616349907179724,phase,54.46386476406805,59.01913177204854,8.754794811306986,54.77918492986679,59.393324400459804,8.807173576389832,54.46386476406794,59.0191317720485,8.754794811306969,54.77918492986673,59.393324400459775,8.807173576389824,-33.54767614441462,-44.5837068318071,10.357862125269245,54.46386476406805,59.01913177204854,8.754794811306986,54.46386476406794,59.0191317720485,8.754794811306969,nan,-33.54767614441462,nan,-44.5837068318071,False,7.193688518597871,ae82c5634254992f,,3.998592055393393,-6.349172266636364,0.0056874340422425895,tone,1.2222350455546307,11.396045384360532,-18.9154285126998,1.008615222887177,0.99156181480774,-2.724167594173405
4,4080,3,7,4766,3.0560478274147185,-3.437724141173021,504.4632885845573,506.04551722478624,1.0031364594332888,1.0037266863747498,0.0,0.8635486072176591,0.8635486072176591,0.8635486072176591,-3.098331848518643,-8.572062336950328,phase,50.16904507123067,54.31090167545623,8.041369613161242,50.18331050224296,54.512624611777156,8.043739286086872,50.16904507123067,54.3109016754562,8.041369613161242,50.18331050224303,54.512624611777184,8.043739286086883,-33.53701069177237,-48.205927145993066,6.700494626774171,50.16904507123067,54.31090167545623,8.041369613161242,50.16904507123067,54.3109016754562,8.041369613161242,nan,-33.53701069177237,nan,-48.205927145993066,False,7.4130260337306,a551861b00f2584a,,3.0560478274147185,-3.437724141173021,0.0037266863747498213,tone,0.8635486072176591,12.456525848390568,-20.128871216364075,1.0092730115936643,0.9909175488017172,-2.983232176338703
5,5100,3,7,5800,0.7722875059323204,-3.1926488324227975,504.74015781638633,505.3266984359779,1.0011620645009287,1.002460822392552,0.0,0.6055139925486153,0.6055139925486153,0.6055139925486153,-2.0556428723232165,0.5435854314665807,phase,50.18299595458201,54.51874786328614,8.043687035644853,50.068053503084826,54.86117022619686,8.024593605163593,50.18299595458201,54.51874786328611,8.043687035644853,50.06805350308479,54.86117022619681,8.024593605163588,-33.50644713685029,-51.46973213122252,4.234117003054244,50.18299595458201,54.51874786328614,8.043687035644853,50.18299595458201,54.51874786328611,8.043687035644853,nan,-33.50644713685029,nan,-51.46973213122252,False,6.956438553764705,f1b12267d5723d5b,,0.7722875059323204,-3.1926488324227975,0.0024608223925519646,tone,0.6055139925486153,12.724343003879053,-21.25654030719736,1.0097076488784116,0.9904918637207755,-3.1648863741032875
6,6144,0,7,6829,1.6312679777622892,-1.2400443051327423,504.6269091430935,505.5279970359997,1.001785651689555,1.0015444808154446,0.0,0.4171295555675676,0.4171295555675676,0.4171295555675676,-1.3018056580127413,0.8257554097841517,phase,54.701100104181386,60.18712644961048,8.794202675113189,54.6460213154814,59.342405885001,8.785053374664685,54.701100104181364,60.18712644961049,8.794202675113185,54.646021315481484,59.34240588500099,8.785053374664699,-33.55549041508193,-55.679345111622425,3.0155776184229897,54.701100104181386,60.18712644961048,8.794202675113189,54.701100104181364,60.18712644961049,8.794202675113185,nan,-33.55549041508193,nan,-55.679345111622425,False,6.8111756842950335,85477a6238a430a6,,1.6312679777622892,-1.2400443051327423,0.00154448081544456,tone,0.4171295555675676,13.289797561790948,-21.69472210625433,1.0099805568446691,0.9902245623184235,-3.290025240773558
7,7140,3,7,3842,1.1182374372308275,-1.5338974438127386,504.88120411332807,505.5177611593495,1.001260805593148,1.0010591448023751,0.0,0.3042890666718899,0.3042890666718899,0.3042890666718899,-0.8985588574650516,4.813862855492619,phase,54.38850745843574,58.77299999227291,8.74227698645112,54.30681594146398,59.6649712677318,8.728706967020596,54.38850745843573,58.77299999227301,8.742276986451119,54.30681594146399,59.66497126773178,8.728706967020598,-33.55703178852042,-59.27952998661346,1.8404824863658678,54.38850745843574,58.77299999227291,8.74227698645112,54.38850745843573,58.77299999227301,8.742276986451119,nan,-33.55703178852042,nan,-59.27952998661346,False,6.9703695699806945,792c28f87ee74a48,,1.1182374372308275,-1.5338974438127386,0.0010591448023751227,tone,0.3042890666718899,13.67731304451819,-22.236886101941824,1.0101677570846934,0.9900412180468421,-3.381311960775125
8,8160,2,8,636,0.28661397197150223,-0.5959393631379517,505.356338845591,505.6746634650712,1.0006299013092572,1.000660888630279,0.0,0.19147249167271127,0.19147249167271127,0.19147249167271127,-0.5611667533895506,-5.802028447098232,phase,54.577050675503884,58.93651856425667,8.7735964577249,54.600334400399305,59.24869137776839,8.777464186112843,54.5770506755039,58.936518564256765,8.773596457724901,54.600334400399284,59.24869137776838,8.777464186112839,-33.571543643551955,-63.307087344752134,1.1492233176121722,54.577050675503884,58.93651856425667,8.7735964577249,54.5770506755039,58.936518564256765,8.773596457724901,nan,-33.571543643551955,nan,-63.307087344752134,False,6.987890150409621,e003bcbc7e2a7e47,,0.28661397197150223,-0.5959393631379517,0.0006608886302790218,tone,0.19147249167271127,13.776618223768349,-22.447562963971638,1.0102845885521263,0.989926789948781,-3.438753708276938
9,9180,3,8,1707,0.1052991333005882,-0.5134987399706337,505.01859820511885,505.88108980909504,1.001707841269691,1.000445652660828,0.0,0.17304943846855061,0.17304943846855061,0.17304943846855061,-0.39568028104260766,-0.7287887343401587,phase,54.50489885782748,59.01700028564953,8.76161110595141,54.27446835413996,58.751058463206064,8.723333613644513,54.50489885782743,59.017000285649566,8.7616111059514,54.27446835414003,58.751058463206206,8.723333613644526,-33.542297964450526,-65.63314834121283,0.628789545586452,54.50489885782748,59.01700028564953,8.76161110595141,54.50489885782743,59.017000285649566,8.7616111059514,nan,-33.542297964450526,nan,-65.63314834121283,False,9.159321936408208,19bc3860340ecf77,,0.1052991333005882,-0.5134987399706337,0.00044565266082807753,tone,0.17304943846855061,13.813097743571797,-22.629116348337586,1.0103633798547655,0.9898496207255567,-3.4906685398175035
